Title,Author/s,DOI,External URL,include,reason
precision identification of endometrial malignancy and precancerous lesions: development of a machine learning model incorporating multidimensional clinical and imaging parameters.,Jinpeng Jiang; Xunya Xiong; Meiling Li; Dan Ma,10.1097/md.0000000000047257,http://dx.doi.org/10.1097/md.0000000000047257,,
predicting postoperative stress urinary incontinence after prolapse surgery via machine learning and regression models: development and validation study.,Minna Su; Shuyu Wang; Xiaochun Liu,10.2196/76021,http://dx.doi.org/10.2196/76021,,
prediction of clinical pregnancy after frozen embryo transfer based on ultrasound radiomics: an analysis based on the optimal periendometrial zone.,Fangfang Xu; Ying Zhang; Qianqing Ma; Lili Hu; Yu Li; Chuanfen Gao; Peipei Guo; Xianyue Yang; Yi Zhou; Jie Zhang; Heng Wang; Chaoxue Zhang,10.1186/s12884-025-07508-0,http://dx.doi.org/10.1186/s12884-025-07508-0,,
prediction of clinical stages of cervical cancer via machine learning integrated with clinical features and ultrasound-based radiomics.,Maochun Zhang; Qing Zhang; Xueying Wang; Xiaoli Peng; Jiao Chen; Hanfeng Yang,10.1038/s41598-025-03170-w,http://dx.doi.org/10.1038/s41598-025-03170-w,,
prediction of embryo implantation by machine learning based on ultrasound strain imaging,F. Sammali; C. Blank; T. H. G. F. Bakkes; Y. Huang; C. Rabotti; B. C. Schoot; M. Mischi,10.1109/ULTSYM.2019.8926228,,,
prediction of endometrial carcinoma using the combination of electronic health records and an ensemble machine learning method.,Wenwen Wang; Yang Xu; Suzhen Yuan; Zhiying Li; Xin Zhu; Qin Zhou; Wenfeng Shen; Shixuan Wang,10.3389/fmed.2022.851890,http://dx.doi.org/10.3389/fmed.2022.851890,,
prediction of preterm birth from cervical length measurements in twin pregnancies using machine learning.,Alejo Costanzo; Mathew Szymanowski; Nir Melamed; Dafna Sussman,10.1038/s41598-025-19803-z,http://dx.doi.org/10.1038/s41598-025-19803-z,,
prediction of uterine cavity conception environment using two-dimensional transvaginal ultrasound imaging semantic feature-based machine learning: a case-control study.,Jinwei Zhang; Shuang Liu; Yue Rong; Shangqing Liu; Chunyan Zhong; Peng Tu; Xiaohang Zhang; Suzhen Ran,10.1186/s12884-025-08390-6,http://dx.doi.org/10.1186/s12884-025-08390-6,yes,
predictive analytical model for ectopic pregnancy diagnosis: statistics vs. machine learning.,Ploywarong Rueangket; Kristsanamon Rittiluechai; Akara Prayote,10.3389/fmed.2022.976829,http://dx.doi.org/10.3389/fmed.2022.976829,,
preoperative surgical planning mri for fibroids: what the surgeon needs to know and what to report.,Jade Acton,10.1111/1754-9485.13816,http://dx.doi.org/10.1111/1754-9485.13816,no,
prognostic significance of serial ultrasonography in placenta accreta spectrum and its impact on perinatal outcomes.,Antonia Varthaliti; Alexandros Psarris; Pelopidas Koutroumanis; Giwrgos Gkiaourakis; Maria Anastasia Daskalaki; Panos Antsaklis; George Daskalakis; Marianna Theodora,10.3390/medicina61091612,http://dx.doi.org/10.3390/medicina61091612,,
